rep1	rep2	rep3
ENSMUSG00000100481	0	2.14084201910582	1.65460197150977
ENSMUSG00000100590	0	0	0
ENSMUSG00000088750	0	0	0
ENSMUSG00000104230	0	0	0
ENSMUSG00000101754	0	0	0
ENSMUSG00000065223	0	0	0
ENSMUSG00000100318	0	0	0
ENSMUSG00000101612	0	0	0
ENSMUSG00000065260	0	0	0
ENSMUSG00000026134	2950.4547892361	2875.15083165912	2788.83162297971
ENSMUSG00000101682	2.24967959530012	2.14084201910582	3.30920394301953
ENSMUSG00000102714	0	2.14084201910582	0
ENSMUSG00000102093	0	0	0
ENSMUSG00000103746	8.99871838120047	6.42252605731747	6.61840788603906
ENSMUSG00000102198	0	0	1.65460197150977
ENSMUSG00000004768	2152.94337270221	2297.12348650055	2338.77988672905
ENSMUSG00000042215	94.4865430026049	101.689995907527	87.6939044900176
ENSMUSG00000103072	0	0	0
ENSMUSG00000042197	5246.25281623987	5233.28831570418	5226.0603270136
ENSMUSG00000081402	68.6152276566536	62.0844185540689	101.758021247851
ENSMUSG00000042182	22.4967959530012	26.7605252388228	26.4736315441563
ENSMUSG00000104416	0	0	0
ENSMUSG00000026131	45243.3063410807	43598.2477190901	45090.3856265984
ENSMUSG00000103596	1.12483979765006	0	0.827300985754883
ENSMUSG00000099382	0	0	0
ENSMUSG00000084506	0	0	0
ENSMUSG00000103364	10.1235581788505	17.1267361528466	12.4095147863232
ENSMUSG00000105982	0	0	0
ENSMUSG00000096992	65.2407082637034	73.8590496591509	79.4208946324687
ENSMUSG00000103001	0	0	0
ENSMUSG00000104397	0	0	0
ENSMUSG00000102839	0	0	0
ENSMUSG00000101206	0	0	0
ENSMUSG00000101462	260.962833054814	214.084201910582	228.335072068348
ENSMUSG00000102336	73.1145868472538	42.8168403821165	59.5656709743516
ENSMUSG00000092852	0	0	0
ENSMUSG00000042111	2596.13025297634	2728.50315335037	2754.91228256376
ENSMUSG00000101711	5.62419898825029	11.774631105082	9.10031084330371
ENSMUSG00000026127	8419.42588541069	8200.49535418486	8277.1463624776
ENSMUSG00000026126	48.3681112989525	39.6055773534577	34.7466414017051
ENSMUSG00000100280	46.1184317036524	73.8590496591509	58.7383699885967
ENSMUSG00000101223	0	0	0
ENSMUSG00000026125	6.74903878590035	3.21126302865873	3.30920394301953
ENSMUSG00000101116	0	0	0
ENSMUSG00000026124	12.3732377741506	8.56336807642329	4.9638059145293
ENSMUSG00000101803	0	0	0
ENSMUSG00000037529	4.49935919060024	0	1.65460197150977
ENSMUSG00000045815	0	0	0
ENSMUSG00000045174	0	2.14084201910582	0
ENSMUSG00000100524	0	0	0
ENSMUSG00000102499	0	0	0
ENSMUSG00000103521	0	0	0
ENSMUSG00000104098	0	0	0
ENSMUSG00000037509	217.094080946461	222.647569987006	214.270955310515
ENSMUSG00000102537	0	0	0
ENSMUSG00000102612	0	0	0
ENSMUSG00000104002	10.1235581788505	9.6337890859762	13.2368157720781
ENSMUSG00000037503	10763.5920237134	11024.2659773854	11324.0958930128
ENSMUSG00000104358	46.1184317036524	18.1971571623995	36.4012433732148
ENSMUSG00000026123	3679.35097811334	3239.09397490711	3363.80580807935
