baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000008128__ENSMUSG00000029062	5137.34764446504	-6.27194665434594	0.117144163386433	-53.5404110032879	0	0
ENSG00000008130__ENSMUSG00000029063	6115.26934155161	-1.27387454695659	0.0626350444699797	-20.3380480964956	5.92416915378258e-92	4.43740479484314e-91
ENSG00000078369__ENSMUSG00000029064	23493.6138015776	0.0632621337527625	0.0438752318800826	1.44186437408848	0.14934063820007	0.17929928128059
ENSG00000178821__ENSMUSG00000023153	126.998153270942	6.34427142743411	0.500214015620404	12.6831140858088	7.33583589314132e-37	2.6673637932284e-36
ENSG00000142609__ENSMUSG00000078490	138.620402408521	-3.24638249210082	0.310333141166957	-10.4609597282885	1.30526794999495e-25	3.73308272453044e-25
ENSG00000187730__ENSMUSG00000029054	24.9010063935824	3.52952233468983	0.658222581982414	5.36220183157456	8.22136044096152e-08	1.43980465765984e-07
ENSG00000067606__ENSMUSG00000029053	1486.01769756596	-0.861660249071852	0.11496743152493	-7.49482038210977	6.63892141300542e-14	1.41754778946234e-13
ENSG00000157933__ENSMUSG00000029050	6413.37036147677	-0.0431509151686879	0.0623151120580964	-0.692463091913537	0.488646556268469	0.536742501442745
ENSG00000116151__ENSMUSG00000029049	181.990239946887	-0.0119995015186945	0.220328612879745	-0.0544618393492262	0.956567211231736	0.961685930241472
ENSG00000157916__ENSMUSG00000029048	3999.00914070225	-0.855698529200366	0.102249663209309	-8.36871733698253	5.82487893229293e-17	1.34489539670729e-16
ENSG00000157911__ENSMUSG00000029047	804.501239181981	0.557527968610912	0.120069294213504	4.64338507411837	3.42746681303705e-06	5.59797053242402e-06
ENSG00000149527__ENSMUSG00000029055	35.8288975777099	0.821577110615158	0.53478577702552	1.53627330028254	0.124471364984257	0.150742035850153
ENSG00000157881__ENSMUSG00000029056	1123.59750800529	0.171512744643541	0.0941655658172985	1.82139557230838	0.0685467477467317	0.0854560084099356
ENSG00000197921__ENSMUSG00000048001	42.4630627513313	9.22048836145186	1.28830744733884	7.15705585689033	8.24281179270509e-13	1.70759352177171e-12
ENSG00000157873__ENSMUSG00000042333	7.56580340572598	3.13611155653687	1.24237379909093	2.52428983839778	0.0115932300834564	0.0154440807778443
ENSG00000157870__ENSMUSG00000029059	1113.46795535072	2.15295723532594	0.108265513808796	19.8859005013195	5.39058284453774e-88	3.87832537539896e-87
ENSG00000142606__ENSMUSG00000058183	39.8865305735005	-2.73628242527182	0.600911661592166	-4.55355187819422	5.2747656008303e-06	8.5393380394005e-06
