orth_id	hESC_rep1	hESC_rep1.UT	hESC_rep2	hESC_rep2.UT	hESC_rep3	hESC_rep3.UT	mESC_rep1	mESC_rep1.UT	mESC_rep2	mESC_rep2.UT	mESC_rep3	mESC_rep3.UT
ENSG00000142627__ENSMUSG00000006445	4835	791	5507	736	5296	1016	2202	1966	1875	1804	1696	1361
ENSG00000142632__ENSMUSG00000028919	3565	1184	3642	1243	2507	1280	331	306	420	322	430	341
ENSG00000132881__ENSMUSG00000073733	213	36	177	34	132	57	33	25	42	27	44	43
ENSG00000037637__ENSMUSG00000028920	1793	653	1891	742	1929	751	1695	1361	1559	1814	1750	1802
ENSG00000055070__ENSMUSG00000040842	8379	1936	7807	2241	6350	2418	1781	1340	1856	1937	1744	1505
ENSG00000187144__ENSMUSG00000045004	3	0	11	4	4	1	32	26	24	28	41	31
ENSG00000157191__ENSMUSG00000028923	3230	784	2946	824	2410	996	1012	856	842	835	1131	871
ENSG00000058453__ENSMUSG00000040860	3211	1503	3057	1250	3279	1509	1371	1346	1626	1404	1620	1243
ENSG00000117122__ENSMUSG00000060572	5878	1479	6794	1827	5152	1984	11	5	10	9	17	4
ENSG00000159363__ENSMUSG00000036622	5437	1347	5992	1735	4789	1857	1027	867	820	662	998	725
ENSG00000117118__ENSMUSG00000009863	5044	1226	5611	1406	4439	1596	2888	2289	2764	2897	3091	3158
ENSG00000117115__ENSMUSG00000028927	505	104	630	116	469	99	607	601	947	1071	1106	1092
ENSG00000142623__ENSMUSG00000025329	89	20	85	6	101	14	57	23	48	27	61	40
ENSG00000142619__ENSMUSG00000025328	143	20	135	7	77	10	252	204	261	282	403	351
ENSG00000159339__ENSMUSG00000025330	25	2	38	5	37	1	266	218	273	320	339	249
ENSG00000179051__ENSMUSG00000040945	49996	16561	54473	18572	46460	20438	13981	10945	13734	14814	14510	13857
ENSG00000074964__ENSMUSG00000040964	2694	923	2519	884	1858	956	738	645	599	636	770	679
ENSG00000117154__ENSMUSG00000040972	1070	273	1295	300	774	318	15	9	26	17	43	36
ENSG00000179023__ENSMUSG00000078234	4704	1792	4451	1475	4598	1646	377	394	451	364	732	500
ENSG00000009709__ENSMUSG00000028736	9	0	8	3	9	3	4	5	2	2	5	4
ENSG00000179002__ENSMUSG00000028738	0	0	0	0	0	0	0	0	0	1	1	0
ENSG00000159423__ENSMUSG00000028737	2311	571	2132	656	1615	687	1874	1658	1427	1176	1774	1424
ENSG00000127481__ENSMUSG00000066036	31769	12383	24887	11832	26129	10994	10622	8322	11786	11317	13426	11483
ENSG00000127463__ENSMUSG00000078517	6030	2112	6707	2367	6456	2567	1092	924	1182	1274	1336	1318
ENSG00000053372__ENSMUSG00000028741	7854	2202	8099	2466	6830	2595	1229	898	1280	1477	1299	1383
ENSG00000211454__ENSMUSG00000028743	16	14	18	10	13	8	627	507	615	562	678	600
ENSG00000040487__ENSMUSG00000028744	1156	308	1220	351	1055	411	319	223	246	187	252	206
ENSG00000077549__ENSMUSG00000028745	21413	5307	21930	6310	17721	7115	4419	3405	4285	3940	4581	3998
ENSG00000173436__ENSMUSG00000050608	966	336	937	377	1141	393	1206	867	1052	995	1104	1011
ENSG00000158747__ENSMUSG00000041120	90	12	106	20	69	18	3	4	5	4	14	3
ENSG00000158748__ENSMUSG00000028747	9	1	11	7	7	5	2	1	3	0	3	7
ENSG00000162542__ENSMUSG00000041143	454	122	439	143	299	135	426	276	389	275	489	348
ENSG00000178828__ENSMUSG00000070661	0	0	0	0	0	0	0	1	1	0	1	1
ENSG00000169914__ENSMUSG00000041161	842	615	523	630	1529	681	174	146	161	187	236	209
ENSG00000188784__ENSMUSG00000028751	0	0	0	0	0	0	1	2	1	1	5	4
ENSG00000188257__ENSMUSG00000058908	15	7	7	5	8	6	2	0	3	2	0	4
ENSG00000127472__ENSMUSG00000041193	0	1	1	0	1	0	349	298	248	234	400	309
ENSG00000117215__ENSMUSG00000041202	0	0	0	0	0	0	2	0	2	7	4	2
ENSG00000158786__ENSMUSG00000028749	0	0	0	0	0	0	6	5	10	7	16	9
ENSG00000187980__ENSMUSG00000028750	0	0	5	0	0	1	21	12	14	16	43	15
ENSG00000162543__ENSMUSG00000043621	103	50	132	56	180	82	136	88	143	117	169	88
ENSG00000158816__ENSMUSG00000028753	88	54	73	47	83	34	0	2	5	6	7	4
ENSG00000162545__ENSMUSG00000046447	147	40	157	42	169	60	818	834	700	596	1234	927
ENSG00000090432__ENSMUSG00000041241	2258	549	2457	758	1954	760	519	364	487	450	479	384
ENSG00000183114__ENSMUSG00000078235	39	10	57	18	34	17	1	1	2	0	1	1
ENSG00000158825__ENSMUSG00000028755	412	78	359	99	236	124	0	0	1	0	0	0
ENSG00000158828__ENSMUSG00000028756	620	152	515	165	393	178	427	316	560	479	624	471
ENSG00000244038__ENSMUSG00000028757	20314	5910	21344	6724	18168	6995	4609	3263	4331	3645	4665	3878
ENSG00000117245__ENSMUSG00000028758	985	241	1096	176	659	217	8	3	6	15	18	17
ENSG00000189410__ENSMUSG00000045349	1591	522	1121	416	1159	462	20	32	20	39	38	65
ENSG00000127483__ENSMUSG00000028759	3469	2762	3419	2517	5666	2731	974	912	953	1074	1126	1176
ENSG00000075151__ENSMUSG00000028760	5359	3440	3192	3488	8829	3850	1512	1702	2011	1774	2092	1796
ENSG00000117298__ENSMUSG00000057530	5236	1545	5685	1605	4811	1802	722	745	704	875	923	930
ENSG00000162551__ENSMUSG00000028766	11858	4134	14022	4886	11364	5347	9724	9095	8901	8572	9844	8287
ENSG00000076864__ENSMUSG00000041351	855	275	892	247	656	306	301	285	388	355	468	379
ENSG00000090686__ENSMUSG00000043411	3353	2621	1919	2657	6631	2904	7714	7901	8411	10184	10551	11947
ENSG00000142798__ENSMUSG00000028763	8928	2977	9036	2694	7257	3053	8341	7424	7910	7282	9622	7739
ENSG00000070831__ENSMUSG00000006699	12680	3991	11129	4558	14706	4889	6593	5708	6365	6844	7125	7029
ENSG00000162552__ENSMUSG00000036856	31	12	26	8	20	6	1	0	3	1	0	0
ENSG00000184677__ENSMUSG00000060862	2638	1080	2264	805	3026	1078	382	412	361	449	452	429
ENSG00000070886__ENSMUSG00000028661	326	79	313	79	234	83	0	0	1	3	0	1
ENSG00000173372__ENSMUSG00000036887	0	0	0	0	1	0	0	0	0	1	0	0
ENSG00000159189__ENSMUSG00000036896	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173369__ENSMUSG00000036905	1	0	1	0	0	0	0	0	0	0	1	0
ENSG00000133216__ENSMUSG00000028664	1489	538	1368	545	998	625	286	216	235	184	352	225
ENSG00000215906__ENSMUSG00000070683	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000227868__ENSMUSG00000036921	1	0	1	0	2	2	0	0	0	0	0	0
ENSG00000004487__ENSMUSG00000036940	22041	8068	22676	8123	20108	8974	4886	3829	5397	5863	5539	5567
ENSG00000169641__ENSMUSG00000001089	7131	2585	6453	2960	6882	2906	1908	1720	2142	2376	2198	2336
ENSG00000125944__ENSMUSG00000066037	11019	7486	7755	8481	19370	8854	1257	1261	1488	1787	1369	1368
ENSG00000125945__ENSMUSG00000051351	139	30	128	29	145	52	184	129	179	192	170	114
ENSG00000204219__ENSMUSG00000001604	6	0	15	3	10	2	483	358	576	562	524	447
ENSG00000088280__ENSMUSG00000036995	4996	1467	4391	1276	3014	1479	426	398	417	393	405	363
ENSG00000007968__ENSMUSG00000018983	393	134	414	194	301	192	149	140	197	157	159	120
ENSG00000117318__ENSMUSG00000007872	8469	1466	9217	1142	6474	1915	57	15	44	16	10	3
ENSG00000142676__ENSMUSG00000059291	60269	18033	62959	21356	58566	21864	16521	13381	16304	15592	18370	16025
ENSG00000011007__ENSMUSG00000028668	5429	2119	6637	2680	7225	2710	847	620	878	779	828	733
ENSG00000057757__ENSMUSG00000028669	4168	1465	5051	1789	4326	1797	861	629	765	727	875	711
ENSG00000011009__ENSMUSG00000028670	9714	2600	10137	2716	8043	2935	829	592	723	672	639	552
ENSG00000117308__ENSMUSG00000028671	1378	429	1343	363	982	415	364	278	336	349	311	277
ENSG00000117305__ENSMUSG00000028672	818	171	776	200	538	190	831	630	756	655	964	758
ENSG00000179163__ENSMUSG00000028673	488	149	580	179	590	187	948	826	968	795	1048	856
ENSG00000188822__ENSMUSG00000062585	0	0	0	0	0	0	3	0	1	2	1	0
ENSG00000189266__ENSMUSG00000028675	532	380	362	396	1070	430	1019	1143	1458	1609	1831	1878
ENSG00000188529__ENSMUSG00000028676	145	239	112	280	519	244	2372	3701	3685	5061	3877	5147
ENSG00000142661__ENSMUSG00000037139	55	14	64	18	63	15	6	7	8	9	17	13
ENSG00000142677__ENSMUSG00000037157	30	7	30	9	28	7	0	0	0	0	4	1
ENSG00000185436__ENSMUSG00000062157	1001	263	836	232	895	287	155	154	152	203	241	192
ENSG00000158055__ENSMUSG00000037188	76	15	164	25	210	23	558	468	498	438	671	522
ENSG00000001460__ENSMUSG00000028801	771	159	697	154	607	190	14	26	31	17	38	23
ENSG00000001461__ENSMUSG00000028803	694	330	646	290	692	292	538	439	562	576	662	526
