orth_id	hESC_rep1	hESC_rep2	hESC_rep3	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000179051__ENSMUSG00000040945	49996	54473	46460	13981	13734	14510
ENSG00000074964__ENSMUSG00000040964	2694	2519	1858	738	599	770
ENSG00000117154__ENSMUSG00000040972	1070	1295	774	15	26	43
ENSG00000179023__ENSMUSG00000078234	4704	4451	4598	377	451	732
ENSG00000009709__ENSMUSG00000028736	9	8	9	4	2	5
ENSG00000179002__ENSMUSG00000028738	0	0	0	0	0	1
ENSG00000159423__ENSMUSG00000028737	2311	2132	1615	1874	1427	1774
ENSG00000127481__ENSMUSG00000066036	31769	24887	26129	10622	11786	13426
ENSG00000127463__ENSMUSG00000078517	6030	6707	6456	1092	1182	1336
ENSG00000053372__ENSMUSG00000028741	7854	8099	6830	1229	1280	1299
ENSG00000211454__ENSMUSG00000028743	16	18	13	627	615	678
ENSG00000040487__ENSMUSG00000028744	1156	1220	1055	319	246	252
ENSG00000077549__ENSMUSG00000028745	21413	21930	17721	4419	4285	4581
ENSG00000173436__ENSMUSG00000050608	966	937	1141	1206	1052	1104
ENSG00000158747__ENSMUSG00000041120	90	106	69	3	5	14
ENSG00000158748__ENSMUSG00000028747	9	11	7	2	3	3
ENSG00000162542__ENSMUSG00000041143	454	439	299	426	389	489
ENSG00000178828__ENSMUSG00000070661	0	0	0	0	1	1
ENSG00000169914__ENSMUSG00000041161	842	523	1529	174	161	236
ENSG00000188784__ENSMUSG00000028751	0	0	0	1	1	5
ENSG00000188257__ENSMUSG00000058908	15	7	8	2	3	0
ENSG00000127472__ENSMUSG00000041193	0	1	1	349	248	400
ENSG00000117215__ENSMUSG00000041202	0	0	0	2	2	4
ENSG00000158786__ENSMUSG00000028749	0	0	0	6	10	16
ENSG00000187980__ENSMUSG00000028750	0	5	0	21	14	43
ENSG00000162543__ENSMUSG00000043621	103	132	180	136	143	169
ENSG00000158816__ENSMUSG00000028753	88	73	83	0	5	7
ENSG00000162545__ENSMUSG00000046447	147	157	169	818	700	1234
