index	gene_id	gene_name
M06000_1	ENSG00000143190	POU2F1
M06001_1	ENSG00000143190	POU2F1
M06002_1	ENSG00000028277	POU2F2
M06003_1	ENSG00000028277	POU2F2
M06004_1	ENSG00000137709	POU2F3
M06005_1	ENSG00000137709	POU2F3
M06006_1	ENSG00000185668	POU3F1
M06007_1	ENSG00000185668	POU3F1
M06008_1	ENSG00000184486	POU3F2
M06009_1	ENSG00000184486	POU3F2
M06010_1	ENSG00000198914	POU3F3
M06011_1	ENSG00000198914	POU3F3
M06012_1	ENSG00000198914	POU3F3
M06013_1	ENSG00000196767	POU3F4
M06014_1	ENSG00000196767	POU3F4
M06015_1	ENSG00000152192	POU4F1
M06016_1	ENSG00000151615	POU4F2
M06017_1	ENSG00000151615	POU4F2
M06018_1	ENSG00000091010	POU4F3
M06019_1	ENSG00000212993	POU5F1B
M06020_1	ENSG00000212993	POU5F1B
M06021_1	ENSG00000106536	POU6F2
M06022_1	ENSG00000106536	POU6F2
M06023_1	ENSG00000106536	POU6F2
M06024_1	ENSG00000057657	PRDM1
M06025_1	ENSG00000110851	PRDM4
M06026_1	ENSG00000175325	PROP1
M06027_1	ENSG00000175325	PROP1
M06028_1	ENSG00000117707	PROX1
M06029_1	ENSG00000116132	PRRX1
M06030_1	ENSG00000116132	PRRX1
M06031_1	ENSG00000116132	PRRX1
M06032_1	ENSG00000167157	PRRX2
M06033_1	ENSG00000131759	RARA
M06034_1	ENSG00000131759	RARA
M06035_1	ENSG00000131759	RARA
M06036_1	ENSG00000131759	RARA
M06037_1	ENSG00000131759	RARA
M06038_1	ENSG00000131759	RARA
M06039_1	ENSG00000077092	RARB
M06040_1	ENSG00000172819	RARG
M06041_1	ENSG00000172819	RARG
M06042_1	ENSG00000172819	RARG
M06043_1	ENSG00000172819	RARG
M06044_1	ENSG00000172819	RARG
M06045_1	ENSG00000172819	RARG
M06046_1	ENSG00000134438	RAX
M06047_1	ENSG00000173976	RAX2
M06048_1	ENSG00000087903	RFX2
M06049_1	ENSG00000087903	RFX2
M06050_1	ENSG00000080298	RFX3
M06051_1	ENSG00000080298	RFX3
M06052_1	ENSG00000111783	RFX4
M06053_1	ENSG00000111783	RFX4
M06054_1	ENSG00000143390	RFX5
M06055_1	ENSG00000143390	RFX5
M06056_1	ENSG00000143390	RFX5
M06057_1	ENSG00000101883	RHOXF1
M06058_1	ENSG00000101883	RHOXF1
M06059_1	ENSG00000101883	RHOXF1
M06060_1	ENSG00000101883	RHOXF1
M06061_1	ENSG00000069667	RORA
M06062_1	ENSG00000069667	RORA
M06063_1	ENSG00000124813	RUNX2
M06064_1	ENSG00000124813	RUNX2
M06065_1	ENSG00000124813	RUNX2
M06066_1	ENSG00000020633	RUNX3
M06067_1	ENSG00000020633	RUNX3
M06068_1	ENSG00000020633	RUNX3
M06069_1	ENSG00000020633	RUNX3
M06070_1	ENSG00000186350	RXRA
M06071_1	ENSG00000186350	RXRA
M06072_1	ENSG00000186350	RXRA
