motif_id	tf_name
M1910_1.02	Srf
M1912_1.02	Rbpj
M1914_1.02	Sox5
M1915_1.02	Zfp523
M1917_1.02	Usf1
M1918_1.02	Hoxb6
M1919_1.02	Yy1
M1922_1.02	Etv3
M1923_1.02	Myb
M1924_1.02	Rel
M1925_1.02	Cebpd
M1926_1.02	Zeb1
M1927_1.02	Mycl1
M1929_1.02	Trp53
M1930_1.02	Rel
M1933_1.02	Spz1
M1934_1.02	Esr1
M1935_1.02	Nr3c1
M1936_1.02	Hnf4g
M1938_1.02	Mafb
M1939_1.02	Zic4
M1942_1.02	Nkx2-5
M1944_1.02	Nkx3-1
M1945_1.02	Nobox
M1946_1.02	Ovol1
M1950_1.02	Zfp354c
M1952_1.02	Hoxa4
M1954_1.02	Lhx1
M1956_1.02	Rest
M1957_1.02	Ctcf
M1958_1.02	Esrrb
M1959_1.02	Pou5f1
M1960_1.02	Sox14
M1961_1.02	Stat3
M1962_1.02	Tcfcp2
M1963_1.02	Zfa
M1964_1.02	Myc
M1965_1.02	Foxj2
M1966_1.02	Nfe2l2
M1967_1.02	Arid3b
M1968_1.02	Ebf1
M1969_1.02	Insm1
M1970_1.02	Nfix
M1971_1.02	Egr3
M1972_1.02	Plag1
M1973_1.02	Nr2e3
M1974_1.02	Hoxa10
M1975_1.02	Hoxb6
M1977_1.02	Barhl1
M1978_1.02	Barhl1
M1979_1.02	Tlx1
M1980_1.02	Barhl1
M1981_1.02	Otx1
M1983_1.02	Dbx1
M1987_1.02	Lmx1a
M1988_1.02	Phox2a
M1989_1.02	Vsx2
M1990_1.02	Vsx2
M1991_1.02	Lmx1a
M1993_1.02	Phox2a
M1995_1.02	Hoxb6
M1996_1.02	Dlx3
M1997_1.02	Msx2
M1998_1.02	Emx1
M1999_1.02	Alx3
M2000_1.02	Nkx6-1
M2001_1.02	Hmx3
M2003_1.02	Lhx1
M2004_1.02	Lhx1
M2006_1.02	Pou2f2
M2007_1.02	Uncx
M2008_1.02	Six6
M2009_1.02	Phox2a
M2010_1.02	Pitx1
M2011_1.02	Phox2a
M2012_1.02	Hoxb6
M2013_1.02	Six4
M2015_1.02	Hoxb6
M2016_1.02	Tgif1
M2017_1.02	Phox2a
M2018_1.02	Lhx2
M2019_1.02	Irx2
M2020_1.02	Nkx2-5
M2023_1.02	Barx1
M2024_1.02	Meox1
M2025_1.02	Cdx1
M2026_1.02	Irx2
M2028_1.02	Emx1
M2029_1.02	En2
M2030_1.02	Evx2
M2031_1.02	Pbx4
M2032_1.02	Mnx1
M2033_1.02	Hoxb6
M2034_1.02	Phox2a
M2035_1.02	Meis1
M2036_1.02	Hoxa4
M2037_1.02	En2
M2038_1.02	Hoxa4
M2039_1.02	Lbx1
M2040_1.02	Lbx1
M2041_1.02	Irx2
M2042_1.02	Otx1
M2043_1.02	Onecut1
M2044_1.02	Phox2a
M2045_1.02	Tcf7l2
M2046_1.02	Hoxb6
M2047_1.02	Pax5
M2048_1.02	Vsx2
M2052_1.02	Nkx1-1
M2053_1.02	Six2
M2054_1.02	Nkx2-6
M2055_1.02	Isl2
M2056_1.02	Twist2
M2057_1.02	Shox2
M2058_1.02	Mnx1
M2059_1.02	Tgif1
M2060_1.02	Nkx2-1
M2061_1.02	Pou3f1
M2063_1.02	Hoxa4
M2064_1.02	Hoxa4
M2065_1.02	Esr1
M2069_1.02	Nkx2-1
M2101_1.02	Foxj3
M2102_1.02	Foxg1
M2118_1.02	Nfya
M2122_1.02	Foxj1
M2136_1.02	Srf
M2170_1.02	Arid2
M2191_1.02	Tbp
M2250_1.02	Foxg1
M2252_1.02	Hlx
M2253_1.02	Hes1
M2257_1.02	Pou2f2
M2259_1.02	Zic1
M2260_1.02	Phox2a
M2261_1.02	Foxj2
M2262_1.02	Nr2e1
M2264_1.02	Neurod1
M2265_1.02	Bcl6
M2266_1.02	Bhlhe40
M2267_1.02	Cdx1
M2268_1.02	Cebpd
M2269_1.02	Otx1
M2271_1.02	E2f3
M2272_1.02	E2f4
M2273_1.02	E2f6
M2274_1.02	Egr3
M2275_1.02	Elf4
M2276_1.02	Etv3
M2277_1.02	Etv3
M2278_1.02	Fosb
M2279_1.02	Fosb
M2281_1.02	Foxh1
M2282_1.02	Foxo4
M2283_1.02	Foxp4
M2284_1.02	Gata6
M2285_1.02	Gfi1b
M2286_1.02	Hnf4g
M2287_1.02	Hoxa10
M2288_1.02	Hsf1
M2289_1.02	Jun
M2290_1.02	Jun
M2291_1.02	Jun
M2292_1.02	Jun
M2293_1.02	Jun
M2294_1.02	Klf6
M2295_1.02	Mafk
M2296_1.02	Mafk
M2297_1.02	Mef2d
M2298_1.02	Meis1
M2299_1.02	Myf5
M2300_1.02	Myf5
M2302_1.02	Nkx2-1
M2304_1.02	Nr5a2
M2308_1.02	Rfx5
M2309_1.02	Rfx5
M2310_1.02	Runx1
M2311_1.02	Rxrg
M2312_1.02	Sox3
M2313_1.02	Sox5
M2314_1.02	Sp1
M2315_1.02	Stat4
M2316_1.02	Stat6
M2317_1.02	Tcf3
M2318_1.02	Tcf3
M2319_1.02	Tcf7
M2320_1.02	Tcfap2a
M2324_1.02	Zfp263
M2329_1.02	Smad5
M2330_1.02	Gata6
M2338_1.02	Myf5
M2339_1.02	Foxj2
M2384_1.02	Esrrb
M2385_1.02	Foxp4
M2386_1.02	Hoxa10
M2387_1.02	Srebf1
M2388_1.02	Srebf1
M2390_1.02	Elf3
M2391_1.02	Klf6
M2392_1.02	Rfx5
M2393_1.02	Foxm1
M2421_1.02	Foxj3
M2422_1.02	Foxj3
M2423_1.02	Foxg1
M2424_1.02	Foxg1
M2437_1.02	Foxj1
M2438_1.02	Foxj1
M2464_1.02	Srf
M2465_1.02	Srf
M2467_1.02	Srf
M2494_1.02	Arid2
M2512_1.02	Tbp
M2525_1.02	Hoxb6
M2526_1.02	Hoxa10
M2527_1.02	Hoxa10
M2530_1.02	Hoxb6
M2531_1.02	Lhx2
M2538_1.02	Cdx1
M2540_1.02	Rxrg
M2541_1.02	Rxrg
M2542_1.02	Pou3f1
M2545_1.02	Gli3
M2546_1.02	Foxj2
M2549_1.02	Hoxb6
M2553_1.02	Arid3b
M2554_1.02	Elf4
M2556_1.02	En2
M2557_1.02	Evx2
M2558_1.02	Hoxb6
M2560_1.02	Gcm2
M2562_1.02	Hes1
M2569_1.02	Foxn1
M2570_1.02	Foxn1
M2574_1.02	Smad5
M2576_1.02	Ovol1
M2577_1.02	Ovol1
M2578_1.02	Pax3
M2580_1.02	Pou3f1
M2585_1.02	Rbpj
M2586_1.02	Tcf7l2
M2587_1.02	Tcf7l2
