gene_id	rep1	rep2	rep3
ENSMUSG00000089767	0	0	0
ENSMUSG00000104365	0	1	0
ENSMUSG00000102650	0	0	0
ENSMUSG00000060771	251	262	334
ENSMUSG00000097268	3	5	6
ENSMUSG00000037216	291	282	407
ENSMUSG00000026088	1120	1131	1549
ENSMUSG00000026087	2514	2595	3493
ENSMUSG00000061584	0	0	0
ENSMUSG00000087374	2	0	8
ENSMUSG00000026085	0	5	3
ENSMUSG00000089141	0	0	0
ENSMUSG00000058407	4033	4134	5367
ENSMUSG00000026083	16766	17443	22074
ENSMUSG00000026082	3049	3117	3936
ENSMUSG00000103804	32	40	52
ENSMUSG00000102716	0	0	0
ENSMUSG00000037138	256	225	294
ENSMUSG00000085391	0	1	0
ENSMUSG00000085280	1	0	0
ENSMUSG00000087131	0	0	0
ENSMUSG00000102984	0	0	0
ENSMUSG00000102541	0	0	0
ENSMUSG00000103531	0	0	0
ENSMUSG00000048814	172	179	228
ENSMUSG00000026080	449	568	664
ENSMUSG00000103647	0	0	0
ENSMUSG00000102447	1	2	4
ENSMUSG00000067604	0	0	0
ENSMUSG00000026078	2708	2739	3352
ENSMUSG00000103046	43	50	87
ENSMUSG00000104188	0	0	0
ENSMUSG00000103182	23	13	26
ENSMUSG00000098833	0	0	0
ENSMUSG00000026077	16	27	30
ENSMUSG00000092553	0	0	0
ENSMUSG00000092563	0	1	0
ENSMUSG00000073702	18356	19586	25985
ENSMUSG00000003134	1158	1241	1437
ENSMUSG00000102607	2	0	2
ENSMUSG00000065629	0	0	0
ENSMUSG00000104827	0	0	0
ENSMUSG00000003135	3885	3990	5126
ENSMUSG00000085894	43	50	76
ENSMUSG00000077704	11	12	23
ENSMUSG00000048234	1693	1647	2219
ENSMUSG00000064936	2	1	9
ENSMUSG00000102471	1	0	1
ENSMUSG00000050967	10	17	17
ENSMUSG00000097083	39	31	67
ENSMUSG00000057173	26	12	19
ENSMUSG00000091937	0	0	0
ENSMUSG00000101634	7	5	10
ENSMUSG00000026074	20059	21204	27116
ENSMUSG00000102985	0	0	0
ENSMUSG00000026073	2	4	2
ENSMUSG00000097899	0	0	0
ENSMUSG00000102975	0	0	0
ENSMUSG00000026072	77	79	97
ENSMUSG00000103560	105	83	123
ENSMUSG00000070942	117	88	120
ENSMUSG00000103230	0	0	1
ENSMUSG00000026069	3	5	2
ENSMUSG00000026070	27	17	32
ENSMUSG00000026068	0	1	0
ENSMUSG00000104441	0	0	0
ENSMUSG00000026065	0	0	0
ENSMUSG00000102676	0	3	2
ENSMUSG00000026062	10	13	23
ENSMUSG00000103679	0	0	0
ENSMUSG00000103270	2	0	0
ENSMUSG00000041945	10	20	19
ENSMUSG00000079588	0	0	0
ENSMUSG00000094136	0	0	0
ENSMUSG00000104072	1	0	0
ENSMUSG00000100185	0	0	0
ENSMUSG00000100832	0	1	1
ENSMUSG00000100178	3	5	4
ENSMUSG00000101877	0	0	0
