orth_id	hESC_rep1	hESC_rep2	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000179051__ENSMUSG00000040945	32952	20584	45428	48907	63103
ENSG00000074964__ENSMUSG00000040964	1956	1476	1499	1549	1922
ENSG00000117154__ENSMUSG00000040972	327	412	35	61	66
ENSG00000179023__ENSMUSG00000078234	2102	1030	520	540	707
ENSG00000009709__ENSMUSG00000028736	180	285	10	6	9
ENSG00000179002__ENSMUSG00000028738	0	0	0	0	0
ENSG00000159423__ENSMUSG00000028737	1024	738	1744	1796	2367
ENSG00000127481__ENSMUSG00000066036	16878	11887	35449	36741	48915
ENSG00000127463__ENSMUSG00000078517	4509	3091	4007	4157	5210
ENSG00000053372__ENSMUSG00000028741	4362	2341	3959	4084	5421
ENSG00000211454__ENSMUSG00000028743	31	15	1527	1605	2172
ENSG00000040487__ENSMUSG00000028744	976	694	553	512	687
ENSG00000077549__ENSMUSG00000028745	15013	10801	11836	12765	16416
ENSG00000173436__ENSMUSG00000050608	678	433	2922	3093	3863
ENSG00000158747__ENSMUSG00000041120	69	53	8	10	14
ENSG00000158748__ENSMUSG00000028747	6	25	4	6	7
ENSG00000162542__ENSMUSG00000041143	113	108	822	910	1154
ENSG00000178828__ENSMUSG00000070661	0	0	0	0	0
ENSG00000169914__ENSMUSG00000041161	1303	955	447	533	604
ENSG00000188784__ENSMUSG00000028751	0	0	8	2	4
ENSG00000188257__ENSMUSG00000058908	68	43	0	0	0
ENSG00000127472__ENSMUSG00000041193	4	2	491	471	621
ENSG00000117215__ENSMUSG00000041202	1	0	6	12	10
ENSG00000158786__ENSMUSG00000028749	0	2	12	8	26
ENSG00000187980__ENSMUSG00000028750	1	3	27	16	54
ENSG00000162543__ENSMUSG00000043621	185	140	215	260	318
ENSG00000158816__ENSMUSG00000028753	80	59	5	4	3
ENSG00000162545__ENSMUSG00000046447	676	812	719	702	864
ENSG00000090432__ENSMUSG00000041241	1587	1220	1523	1576	2188
ENSG00000183114__ENSMUSG00000078235	125	93	3	10	6
ENSG00000158825__ENSMUSG00000028755	580	485	0	2	0
ENSG00000158828__ENSMUSG00000028756	731	489	941	956	1367
ENSG00000244038__ENSMUSG00000028757	10315	7260	10884	11980	15441
ENSG00000117245__ENSMUSG00000028758	402	444	16	11	32
ENSG00000189410__ENSMUSG00000045349	988	658	99	92	116
ENSG00000127483__ENSMUSG00000028759	7796	6500	3707	3664	4922
ENSG00000075151__ENSMUSG00000028760	9448	8276	4909	5259	6727
ENSG00000117298__ENSMUSG00000057530	5265	4370	2676	3011	3657
ENSG00000162551__ENSMUSG00000028766	12888	9037	12914	13235	17487
ENSG00000076864__ENSMUSG00000041351	608	568	858	955	1251
ENSG00000090686__ENSMUSG00000043411	5038	4057	24793	26231	33362
ENSG00000142798__ENSMUSG00000028763	8412	7449	30283	32151	42551
ENSG00000070831__ENSMUSG00000006699	13599	10630	21617	21948	27723
ENSG00000162552__ENSMUSG00000036856	246	161	22	23	23
ENSG00000184677__ENSMUSG00000060862	2971	1392	1548	1504	2108
ENSG00000070886__ENSMUSG00000028661	138	141	2	4	4
ENSG00000173372__ENSMUSG00000036887	2	0	0	0	0
ENSG00000159189__ENSMUSG00000036896	2	0	0	0	0
ENSG00000173369__ENSMUSG00000036905	0	0	0	0	0
ENSG00000133216__ENSMUSG00000028664	1994	1745	943	1037	1351
ENSG00000215906__ENSMUSG00000070683	2	0	0	0	0
ENSG00000227868__ENSMUSG00000036921	0	6	0	3	0
ENSG00000004487__ENSMUSG00000036940	18630	15034	18214	19278	24559
ENSG00000169641__ENSMUSG00000001089	7585	5203	8412	9095	11693
ENSG00000125944__ENSMUSG00000066037	17429	13455	6629	6780	8807
ENSG00000125945__ENSMUSG00000051351	286	347	610	606	779
ENSG00000204219__ENSMUSG00000001604	15	41	2102	2395	3047
ENSG00000088280__ENSMUSG00000036995	2751	2501	1466	1582	2116
ENSG00000007968__ENSMUSG00000018983	618	547	637	688	918
ENSG00000117318__ENSMUSG00000007872	11094	9343	776	908	1199
ENSG00000142676__ENSMUSG00000059291	38591	27216	21452	24106	30973
ENSG00000011007__ENSMUSG00000028668	4731	2996	2964	2931	3825
ENSG00000057757__ENSMUSG00000028669	2828	1994	2192	2258	2977
ENSG00000011009__ENSMUSG00000028670	6391	4147	2499	2598	3468
ENSG00000117308__ENSMUSG00000028671	1000	737	714	740	1090
ENSG00000117305__ENSMUSG00000028672	435	528	1507	1668	2073
ENSG00000179163__ENSMUSG00000028673	360	263	1744	1931	2513
ENSG00000188822__ENSMUSG00000062585	5	7	7	14	13
ENSG00000189266__ENSMUSG00000028675	8408	6792	6288	6182	7819
ENSG00000188529__ENSMUSG00000028676	13678	9394	15947	16010	21111
ENSG00000142661__ENSMUSG00000037139	16	17	62	38	52
ENSG00000142677__ENSMUSG00000037157	15	16	2	0	2
ENSG00000185436__ENSMUSG00000062157	578	372	178	195	238
ENSG00000158055__ENSMUSG00000037188	142	88	1075	1221	1538
ENSG00000001460__ENSMUSG00000028801	523	530	10	16	18
ENSG00000001461__ENSMUSG00000028803	496	430	941	994	1229
ENSG00000117602__ENSMUSG00000059713	1187	988	1137	1363	1585
ENSG00000184454__ENSMUSG00000043924	9	16	57	41	64
ENSG00000133226__ENSMUSG00000028809	12013	9488	23212	24014	31434
ENSG00000169504__ENSMUSG00000037242	30069	23015	15603	15931	21036
ENSG00000020633__ENSMUSG00000070691	40	27	31	38	59
ENSG00000117614__ENSMUSG00000028821	1995	1387	2656	2893	3836
ENSG00000117616__ENSMUSG00000037266	1415	983	7879	8732	11390
ENSG00000187010__ENSMUSG00000028825	38	21	63	58	53
ENSG00000183726__ENSMUSG00000028822	4867	3699	2220	2367	3089
ENSG00000188672__ENSMUSG00000028825	8	20	63	58	53
ENSG00000204178__ENSMUSG00000028826	2086	1390	4051	4058	5508
ENSG00000157978__ENSMUSG00000037295	1219	997	1071	1201	1476
ENSG00000117643__ENSMUSG00000037306	562	544	288	307	351
ENSG00000162430__ENSMUSG00000050989	6908	6509	215	260	298
ENSG00000255054__ENSMUSG00000050989	0	0	215	260	298
ENSG00000117640__ENSMUSG00000046671	1202	928	2706	2800	3637
ENSG00000127423__ENSMUSG00000078521	1088	909	2139	2215	2726
ENSG00000182749__ENSMUSG00000037348	298	288	49	84	90
ENSG00000117632__ENSMUSG00000028832	25312	23363	11873	12572	16226
ENSG00000158006__ENSMUSG00000037366	763	568	1461	1449	1978
ENSG00000158008__ENSMUSG00000028838	71	82	288	323	440
ENSG00000158014__ENSMUSG00000028836	8	26	796	779	1087
ENSG00000158022__ENSMUSG00000028834	6	4	118	133	144
ENSG00000175087__ENSMUSG00000050890	517	487	1050	1197	1471
ENSG00000197245__ENSMUSG00000050105	102	103	55	48	114
ENSG00000282872__ENSMUSG00000108398	6	3	0	0	0
ENSG00000142684__ENSMUSG00000028840	2	1	151	137	199
ENSG00000142675__ENSMUSG00000028841	398	282	10	31	40
ENSG00000188782__ENSMUSG00000048003	10	15	0	0	1
ENSG00000130695__ENSMUSG00000037443	3334	2533	4535	4616	6410
ENSG00000142669__ENSMUSG00000028843	3763	3424	2222	2368	3085
ENSG00000158062__ENSMUSG00000012126	590	388	314	382	362
ENSG00000169442__ENSMUSG00000000682	17	29	8	5	4
ENSG00000176092__ENSMUSG00000012123	561	524	581	662	775
ENSG00000131914__ENSMUSG00000050966	83369	57819	23394	25875	32632
ENSG00000117682__ENSMUSG00000012117	2271	1654	1260	1463	1743
ENSG00000198830__ENSMUSG00000070713	37997	25276	578	665	797
ENSG00000198830__ENSMUSG00000100622	37997	25276	4	5	3
ENSG00000198830__ENSMUSG00000003038	37997	25276	4922	5036	6647
ENSG00000117676__ENSMUSG00000003644	3232	2411	11242	12304	15924
ENSG00000117713__ENSMUSG00000007880	17165	13042	18213	19732	25716
ENSG00000060642__ENSMUSG00000043257	459	475	770	769	1128
ENSG00000204160__ENSMUSG00000037553	2590	2092	2567	2729	3829
ENSG00000175793__ENSMUSG00000047281	198	149	3114	3258	4311
ENSG00000142751__ENSMUSG00000028848	1525	1012	1154	1453	1812
ENSG00000198746__ENSMUSG00000028850	680	527	874	984	1367
ENSG00000090273__ENSMUSG00000028851	8485	5574	11027	11851	15397
ENSG00000131910__ENSMUSG00000037583	2	1	0	0	0
ENSG00000175707__ENSMUSG00000037600	511	444	173	194	280
ENSG00000253368__ENSMUSG00000056596	1464	1087	154	175	246
ENSG00000158246__ENSMUSG00000046694	5182	3202	208	225	358
ENSG00000090020__ENSMUSG00000028854	2056	1556	2281	2406	3286
ENSG00000142784__ENSMUSG00000037622	2759	2407	6208	6644	8445
ENSG00000186501__ENSMUSG00000028857	1392	851	2693	2754	3800
ENSG00000142765__ENSMUSG00000028860	367	290	222	292	325
ENSG00000142733__ENSMUSG00000028862	453	548	257	252	386
